Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
JOURNAL OF COMBINATORIAL THEORY SERIES A,J COMB THEORY A,UNITED STATES,X,,,
JOURNAL OF COMBINATORIAL THEORY SERIES B,J COMB THEORY B,UNITED STATES,X,,,
JOURNAL OF COMBINATORICS,J COMB,UNITED STATES,,,,X
JOURNAL OF COMBUSTION,J COMBUST,UNITED STATES,,,,X
JOURNAL OF COMMODITY MARKETS,J COMMOD MARK,NETHERLANDS,,X,,
JOURNAL OF COMMONWEALTH LITERATURE,J COMMONW LIT,ENGLAND,,,X,
JOURNAL OF COMMUNICATION,J COMMUN,UNITED STATES,,X,,
JOURNAL OF COMMUNICATION DISORDERS,J COMMUN DISORD,UNITED STATES,X,X,,
JOURNAL OF COMMUNICATION INQUIRY,J COMMUN INQ,UNITED STATES,,,,X
JOURNAL OF COMMUNICATION MANAGEMENT,J COMMUN MANAG,ENGLAND,,,,X
JOURNAL OF COMMUNICATIONS AND NETWORKS,J COMMUN NETW-S KOR,SOUTH KOREA,X,,,
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,J COMMUN TECHNOL EL+,RUSSIA,X,,,
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,J COMMUNITY APPL SOC,ENGLAND,,X,,
JOURNAL OF COMMUNITY GENETICS,J COMMUN GENET,GERMANY,,,,X
JOURNAL OF COMMUNITY HEALTH,J COMMUN HEALTH,UNITED STATES,,X,,
JOURNAL OF COMMUNITY HEALTH NURSING,J COMMUN HEALTH NURS,UNITED STATES,X,X,,
JOURNAL OF COMMUNITY HOSPITAL INTERNAL MEDICINE PERSPECTIVES,J COMMUNITY HOSP INT,ENGLAND,,,,X
JOURNAL OF COMMUNITY PRACTICE,J COMMUNITY PRACT,ENGLAND,,,,X
JOURNAL OF COMMUNITY PSYCHOLOGY,J COMMUNITY PSYCHOL,UNITED STATES,,X,,
JOURNAL OF COMMUTATIVE ALGEBRA,J COMMUT ALGEBR,UNITED STATES,X,,,
JOURNAL OF COMPARATIVE ECONOMICS,J COMP ECON,UNITED STATES,,X,,
JOURNAL OF COMPARATIVE EFFECTIVENESS RESEARCH,J COMP EFFECT RES,ENGLAND,X,,,
JOURNAL OF COMPARATIVE FAMILY STUDIES,J COMP FAM STUD,CANADA,,X,,
JOURNAL OF COMPARATIVE GERMANIC LINGUISTICS,J COMP GER LINGUIST,ENGLAND,,X,X,
JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,UNITED STATES,X,,,
JOURNAL OF COMPARATIVE PATHOLOGY,J COMP PATHOL,ENGLAND,X,,,
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,GERMANY,X,,,
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,J COMP PHYSIOL B,GERMANY,X,,,
JOURNAL OF COMPARATIVE POLICY ANALYSIS,J COMP POLICY ANAL,ENGLAND,,X,,
JOURNAL OF COMPARATIVE POLITICS,J COMP POLIT,SLOVENIA,,,,X
JOURNAL OF COMPARATIVE PSYCHOLOGY,J COMP PSYCHOL,UNITED STATES,X,X,,
JOURNAL OF COMPETITION LAW & ECONOMICS,J COMPET LAW ECON,ENGLAND,,X,,
JOURNAL OF COMPETITIVENESS,J COMPETITIVENESS,CZECH REPUBLIC,,X,,
JOURNAL OF COMPLEMENTARY MEDICINE RESEARCH,J COMPL MED RES,TURKEY,,,,X
JOURNAL OF COMPLEX NETWORKS,J COMPLEX NETW,ENGLAND,X,,,
JOURNAL OF COMPLEXITY,J COMPLEXITY,UNITED STATES,X,,,
JOURNAL OF COMPOSITE MATERIALS,J COMPOS MATER,ENGLAND,X,,,
JOURNAL OF COMPOSITES FOR CONSTRUCTION,J COMPOS CONSTR,UNITED STATES,X,,,
JOURNAL OF COMPOSITES SCIENCE,J COMPOS SCI,SWITZERLAND,,,,X
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,NETHERLANDS,X,,,
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,J COMPUT GRAPH STAT,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS,J COMPUT NONLIN DYN,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL AND THEORETICAL TRANSPORT,J COMPUT THEOR TRANS,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL APPLIED MECHANICS,J COMPUT APPL MECH,IRAN,,,,X
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL CHEMISTRY,J COMPUT CHEM,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING,J COMPUT DES ENG,ENGLAND,X,,,
JOURNAL OF COMPUTATIONAL ELECTRONICS,J COMPUT ELECTRON,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL FINANCE,J COMPUT FINANC,ENGLAND,,X,,
JOURNAL OF COMPUTATIONAL GEOMETRY,J COMPUT GEOM,CANADA,,,,X
JOURNAL OF COMPUTATIONAL MATHEMATICS,J COMPUT MATH,PEOPLES R CHINA,X,,,
JOURNAL OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING,J COMPUT METHODS SCI,ENGLAND,,,,X
JOURNAL OF COMPUTATIONAL NEUROSCIENCE,J COMPUT NEUROSCI,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,UNITED STATES,X,,,
JOURNAL OF COMPUTATIONAL SCIENCE,J COMPUT SCI-NETH,NETHERLANDS,X,,,
JOURNAL OF COMPUTER AIDED CHEMISTRY,J COMPUT AIDED CHEM,JAPAN,,,,X
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,UNITED STATES,X,,,
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,RUSSIA,X,,,
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,ENGLAND,,X,,
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,J COMPUT ASSIST TOMO,UNITED STATES,X,,,
JOURNAL OF COMPUTER CHEMISTRY-JAPAN,J COMPUT CHEM-JPN,JAPAN,,,,X
JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,UNITED STATES,X,,,
JOURNAL OF COMPUTER LANGUAGES,J COMPUT LANG,ENGLAND,X,,,
JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS,J COMPUT NETW COMMUN,UNITED STATES,,,,X
JOURNAL OF COMPUTER SCIENCE & TECHNOLOGY,J COMPUT SCI TECHNOL,ARGENTINA,,,,X
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,PEOPLES R CHINA,X,,,
JOURNAL OF COMPUTER SECURITY,J COMPUT SECUR,NETHERLANDS,,,,X
JOURNAL OF COMPUTER VIROLOGY AND HACKING TECHNIQUES,J COMPUT VIROL HACKI,FRANCE,,,,X
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,NETHERLANDS,X,,,
JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,J COMPUT-MEDIAT COMM,UNITED STATES,,X,,
JOURNAL OF COMPUTERS IN EDUCATION,J COMPUT EDUC,GERMANY,,,,X
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,J COMPUT INF SCI ENG,UNITED STATES,X,,,
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,UNITED STATES,X,,,
JOURNAL OF COMPUTING IN HIGHER EDUCATION,J COMPUT HIGH EDUC,UNITED STATES,,X,,
JOURNAL OF CONCHOLOGY,J CONCHOL,ENGLAND,X,,,
JOURNAL OF CONFLICT & SECURITY LAW,J CONFL SECUR LAW,ENGLAND,,,,X
JOURNAL OF CONFLICT ARCHAEOLOGY,J CONFL ARCHAEOL,ENGLAND,,,,X
JOURNAL OF CONFLICT RESOLUTION,J CONFLICT RESOLUT,UNITED STATES,,X,,
JOURNAL OF CONSCIOUSNESS STUDIES,J CONSCIOUSNESS STUD,UNITED STATES,,X,X,
JOURNAL OF CONSERVATION AND MUSEUM STUDIES,J CONSERV MUS STUD,ENGLAND,,,,X
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,J CONSTR ENG M,UNITED STATES,X,,,
JOURNAL OF CONSTRUCTION IN DEVELOPING COUNTRIES,J CONSTR DEV CTRIES,MALAYSIA,,,,X
JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,J CONSTR STEEL RES,ENGLAND,X,,,
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,J CONSTR PSYCHOL,ENGLAND,,X,,
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,J CONSULT CLIN PSYCH,UNITED STATES,,X,,
JOURNAL OF CONSUMER AFFAIRS,J CONSUM AFF,UNITED STATES,,X,,
JOURNAL OF CONSUMER BEHAVIOUR,J CONSUM BEHAV,ENGLAND,,X,,
JOURNAL OF CONSUMER CULTURE,J CONSUM CULT,ENGLAND,,X,X,
JOURNAL OF CONSUMER HEALTH ON THE INTERNET,J CONS HLTH INTERNET,ENGLAND,,,,X
JOURNAL OF CONSUMER POLICY,J CONSUM POLICY,UNITED STATES,,,,X
JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY,J CONSUM PROT FOOD S,SWITZERLAND,X,,,
JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,ENGLAND,,X,,
JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,UNITED STATES,,X,,
JOURNAL OF CONSUMER SCIENCES,J CONSUM SCI,SOUTH AFRICA,,,,X
JOURNAL OF CONTAMINANT HYDROLOGY,J CONTAM HYDROL,NETHERLANDS,X,,,
JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,J CONTEMP ACCOUNT EC,ENGLAND,,X,,
JOURNAL OF CONTEMPORARY AFRICAN STUDIES,J CONTEMP AFR STUD,SOUTH AFRICA,,,,X
JOURNAL OF CONTEMPORARY ARCHAEOLOGY,J CONTEMP ARCHAEOL,ENGLAND,,,,X
JOURNAL OF CONTEMPORARY ASIA,J CONTEMP ASIA,SWEDEN,,X,,
JOURNAL OF CONTEMPORARY BRACHYTHERAPY,J CONTEMP BRACHYTHER,POLAND,X,,,
JOURNAL OF CONTEMPORARY CHINA,J CONTEMP CHINA,ENGLAND,,X,,
JOURNAL OF CONTEMPORARY CHINESE ART,J CONTEMP CHIN ART,ENGLAND,,,,X
JOURNAL OF CONTEMPORARY CRIMINAL JUSTICE,J CONTEMP CRIM JUST,UNITED STATES,,X,,
JOURNAL OF CONTEMPORARY DRAMA IN ENGLISH,J CONTEMP DRAMA ENGL,GERMANY,,,,X
JOURNAL OF CONTEMPORARY ETHNOGRAPHY,J CONTEMP ETHNOGR,UNITED STATES,,X,,
JOURNAL OF CONTEMPORARY EUROPEAN RESEARCH,J CONTEMP EUR RES,ENGLAND,,,,X
JOURNAL OF CONTEMPORARY EUROPEAN STUDIES,J CONTEMP EUR STUD,ENGLAND,,X,,
JOURNAL OF CONTEMPORARY HISTORY,J CONTEMP HIST,ENGLAND,,X,X,
JOURNAL OF CONTEMPORARY ISSUES IN BUSINESS AND GOVERNMENT,J CONTEMP ISS BUS GO,AUSTRALIA,,,,X
JOURNAL OF CONTEMPORARY MATHEMATICAL ANALYSIS-ARMENIAN ACADEMY OF SCIENCES,J CONTEMP MATH ANAL+,ARMENIA,X,,,
JOURNAL OF CONTEMPORARY MEDICAL SCIENCES,J CONTEMP MED SCI,IRAQ,,,,X
JOURNAL OF CONTEMPORARY PAINTING,J CONTEMP PAINTING,ENGLAND,,,,X
JOURNAL OF CONTEMPORARY PHYSICS-ARMENIAN ACADEMY OF SCIENCES,J CONTEMP PHYS-ARME+,ARMENIA,X,,,
JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,J CONTEMP PSYCHOTHER,SWITZERLAND,,,,X
JOURNAL OF CONTEMPORARY RELIGION,J CONTEMP RELIG,ENGLAND,,,X,
JOURNAL OF CONTEMPORARY WATER RESEARCH & EDUCATION,J CONTEMP WAT RES ED,UNITED STATES,,,,X
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,J CONTEXT BEHAV SCI,NETHERLANDS,,X,,
JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT,J CONTING CRISIS MAN,ENGLAND,,X,,
JOURNAL OF CONTINUING EDUCATION IN NURSING,J CONTIN EDUC NURS,UNITED STATES,X,X,,
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,J CONTIN EDUC HEALTH,UNITED STATES,X,,,
JOURNAL OF CONTINUING HIGHER EDUCATION,J CONTIN HIGH EDUC,ENGLAND,,,,X
JOURNAL OF CONTROL AUTOMATION AND ELECTRICAL SYSTEMS,J CONTROL AUTOM ELEC,BRAZIL,,,,X
JOURNAL OF CONTROL SCIENCE AND ENGINEERING,J CONTROL SCI ENG,UNITED STATES,,,,X
JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,NETHERLANDS,X,,,
JOURNAL OF CONVENTION & EVENT TOURISM,J CONV EVENT TOUR,ENGLAND,,,,X
JOURNAL OF CONVEX ANALYSIS,J CONVEX ANAL,GERMANY,X,,,
JOURNAL OF CO-OPERATIVE ORGANIZATION AND MANAGEMENT,J CO-OP ORGAN MANAG,NETHERLANDS,,,,X
JOURNAL OF COORDINATION CHEMISTRY,J COORD CHEM,ENGLAND,X,,,
JOURNAL OF CORPORATE ACCOUNTING AND FINANCE,J CORP ACCOUNT FINAN,UNITED STATES,,,,X
JOURNAL OF CORPORATE FINANCE,J CORP FINANC,NETHERLANDS,,X,,
JOURNAL OF CORPORATE LAW STUDIES,J CORP LAW STUD,ENGLAND,,X,,
JOURNAL OF CORPORATE REAL ESTATE,J CORP REAL ESTATE,ENGLAND,,,,X
JOURNAL OF CORRECTIONAL HEALTH CARE,J CORRECT HEALTH CAR,UNITED STATES,,X,,
JOURNAL OF COSMETIC AND LASER THERAPY,J COSMET LASER THER,SWEDEN,X,,,
JOURNAL OF COSMETIC DERMATOLOGY,J COSMET DERMATOL-US,UNITED STATES,X,,,
JOURNAL OF COSMETIC SCIENCE,J COSMET SCI,UNITED STATES,X,,,
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,J COSMOL ASTROPART P,ENGLAND,X,,,
JOURNAL OF COTTON RESEARCH,J COTTON RES,PEOPLES R CHINA,,,,X
JOURNAL OF COTTON SCIENCE,J COTTON SCI,UNITED STATES,,,,X
JOURNAL OF COUNSELING AND DEVELOPMENT,J COUNS DEV,UNITED STATES,,X,,
JOURNAL OF COUNSELING PSYCHOLOGY,J COUNS PSYCHOL,UNITED STATES,,X,,
JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,J COUPLE RELATSH THE,UNITED STATES,,,,X
JOURNAL OF CRANIOFACIAL SURGERY,J CRANIOFAC SURG,UNITED STATES,X,,,
JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,J CRANIO MAXILL SURG,SCOTLAND,X,,,
JOURNAL OF CRANIOVERTEBRAL JUNCTION AND SPINE,J CRANIOVERTEBRAL JU,INDIA,,,,X
JOURNAL OF CREATIVE COMMUNICATIONS,J CREAT COMMUN,UNITED STATES,,,,X
JOURNAL OF CREATIVITY IN MENTAL HEALTH,J CREAT MENT HEALTH,UNITED STATES,,,,X
JOURNAL OF CREDIT RISK,J CREDIT RISK,ENGLAND,,X,,
JOURNAL OF CRIME & JUSTICE,J CRIME JUSTICE,UNITED STATES,,X,,
JOURNAL OF CRIMINAL JUSTICE,J CRIM JUST,UNITED STATES,,X,,
JOURNAL OF CRIMINAL JUSTICE EDUCATION,J CRIM JUSTICE EDUC,UNITED STATES,,,,X
JOURNAL OF CRIMINAL LAW,J CRIM LAW,ENGLAND,,,,X
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,J CRIM LAW CRIM,UNITED STATES,,X,,
JOURNAL OF CRIMINAL PSYCHOLOGY,J CRIM PSYCHOL,ENGLAND,,,,X
JOURNAL OF CRIMINOLOGICAL RESEARCH POLICY AND PRACTICE,J CRIMINOL RES POLIC,ENGLAND,,,,X
JOURNAL OF CRITICAL & INTENSIVE CARE,J CRIT INTENS CARE,TURKEY,,,,X
JOURNAL OF CRITICAL CARE,J CRIT CARE,UNITED STATES,X,,,
JOURNAL OF CRITICAL CARE MEDICINE,J CRIT CARE MED,ROMANIA,,,,X
JOURNAL OF CRITICAL REALISM,J CRIT REALISM,ENGLAND,,,,X
JOURNAL OF CROHNS & COLITIS,J CROHNS COLITIS,NETHERLANDS,X,,,
JOURNAL OF CROP IMPROVEMENT,J CROP IMPROV,UNITED STATES,,,,X
JOURNAL OF CROSS-CULTURAL GERONTOLOGY,J CROSS-CULT GERONTO,NETHERLANDS,,,,X
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,J CROSS CULT PSYCHOL,UNITED STATES,,X,,
JOURNAL OF CRUSTACEAN BIOLOGY,J CRUSTACEAN BIOL,ENGLAND,X,,,
JOURNAL OF CRYPTOGRAPHIC ENGINEERING,J CRYPTOGR ENG,GERMANY,X,,,
JOURNAL OF CRYPTOLOGY,J CRYPTOL,UNITED STATES,X,,,
JOURNAL OF CRYSTAL GROWTH,J CRYST GROWTH,NETHERLANDS,X,,,
JOURNAL OF CULINARY SCIENCE & TECHNOLOGY,J CULIN SCI TECHNOL,UNITED STATES,,,,X
JOURNAL OF CULTURAL ECONOMICS,J CULT ECON,NETHERLANDS,,X,,
JOURNAL OF CULTURAL ECONOMY,J CULT ECON-UK,ENGLAND,,X,X,
JOURNAL OF CULTURAL GEOGRAPHY,J CULT GEOGR,UNITED STATES,,,,X
JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,FRANCE,X,,X,
JOURNAL OF CULTURAL HERITAGE MANAGEMENT AND SUSTAINABLE DEVELOPMENT,J CULT HERIT MANAG S,ENGLAND,,,,X
JOURNAL OF CURATORIAL STUDIES,J CURATOR STUD,ENGLAND,,,,X
JOURNAL OF CURRENT ISSUES AND RESEARCH IN ADVERTISING,J CURR ISS RES AD,UNITED STATES,,,,X
JOURNAL OF CURRENT OPHTHALMOLOGY,J CURR OPHTHALMOL,INDIA,,,,X
JOURNAL OF CURRICULUM STUDIES,J CURRICULUM STUD,ENGLAND,,X,,
JOURNAL OF CUTANEOUS IMMUNOLOGY AND ALLERGY,J CUTAN IMMUNOL ALL,ENGLAND,,,,X
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,J CUTAN MED SURG,UNITED STATES,X,,,
JOURNAL OF CUTANEOUS PATHOLOGY,J CUTAN PATHOL,DENMARK,X,,,
JOURNAL OF CYBERSECURITY,J CYBERSECURITY,ENGLAND,,,,X
JOURNAL OF CYSTIC FIBROSIS,J CYST FIBROS,NETHERLANDS,X,,,
JOURNAL OF CYTOLOGY,J CYTOL,INDIA,X,,,
JOURNAL OF DAIRY RESEARCH,J DAIRY RES,ENGLAND,X,,,
JOURNAL OF DAIRY SCIENCE,J DAIRY SCI,UNITED STATES,X,,,
JOURNAL OF DANCE & SOMATIC PRACTICES,J DANCE SOMAT PRACT,ENGLAND,,,,X
JOURNAL OF DANCE MEDICINE & SCIENCE,J DANCE MED SCI,UNITED STATES,,,,X
JOURNAL OF DATA AND INFORMATION SCIENCE,J DATA INFO SCI,PEOPLES R CHINA,,,,X
JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,UNITED STATES,X,,,
JOURNAL OF DEAF STUDIES AND DEAF EDUCATION,J DEAF STUD DEAF EDU,UNITED STATES,,X,,
JOURNAL OF DECISION SYSTEMS,J DECIS SYST,ENGLAND,,,,X
JOURNAL OF DEFENSE MODELING AND SIMULATION-APPLICATIONS METHODOLOGY TECHNOLOGY-JDMS,J DEF MODEL SIMUL-AP,UNITED STATES,,,,X
JOURNAL OF DEMOCRACY,J DEMOCR,UNITED STATES,,X,,
JOURNAL OF DEMOGRAPHIC ECONOMICS,J DEMOGR ECON,ENGLAND,,X,,
JOURNAL OF DENTAL EDUCATION,J DENT EDUC,UNITED STATES,X,,,
JOURNAL OF DENTAL RESEARCH,J DENT RES,UNITED STATES,X,,,
JOURNAL OF DENTAL SCIENCES,J DENT SCI,TAIWAN,X,,,
JOURNAL OF DENTISTRY,J DENT,ENGLAND,X,,,
JOURNAL OF DENTISTRY FOR CHILDREN,J DENT CHILD,UNITED STATES,,,,X
JOURNAL OF DENTISTRY INDONESIA,J DENT INDONES,INDONESIA,,,,X
JOURNAL OF DERMATOLOGICAL SCIENCE,J DERMATOL SCI,IRELAND,X,,,
JOURNAL OF DERMATOLOGICAL TREATMENT,J DERMATOL TREAT,SWEDEN,X,,,
JOURNAL OF DERMATOLOGY,J DERMATOL,JAPAN,X,,,
JOURNAL OF DERMATOLOGY & DERMATOLOGIC SURGERY-JDDS,J DERMATOL DERMATOL,INDIA,,,,X
JOURNAL OF DESIGN HISTORY,J DES HIST,ENGLAND,,,X,
JOURNAL OF DESTINATION MARKETING & MANAGEMENT,J DESTIN MARK MANAGE,NETHERLANDS,,X,,
JOURNAL OF DEVELOPING SOCIETIES,J DEV SOC,UNITED STATES,,,,X
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON,NETHERLANDS,,X,,
JOURNAL OF DEVELOPMENT EFFECTIVENESS,J DEV EFFECT,ENGLAND,,X,,
JOURNAL OF DEVELOPMENT STUDIES,J DEV STUD,ENGLAND,,X,,
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,J DEV BEHAV PEDIATR,UNITED STATES,X,X,,
JOURNAL OF DEVELOPMENTAL AND LIFE-COURSE CRIMINOLOGY,J DEV LIFE-COURSE CR,UNITED STATES,,X,,
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,J DEV PHYS DISABIL,UNITED STATES,,X,,
JOURNAL OF DEVELOPMENTAL BIOLOGY,J DEV BIOL,SWITZERLAND,,,,X
JOURNAL OF DEVELOPMENTAL ENTREPRENEURSHIP,J DEV ENTREP,SINGAPORE,,,,X
JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,J DEV ORIG HLTH DIS,ENGLAND,X,,,
JOURNAL OF DHARMA,J DHARMA,INDIA,,,X,
JOURNAL OF DIABETES,J DIABETES,PEOPLES R CHINA,X,,,
JOURNAL OF DIABETES AND ITS COMPLICATIONS,J DIABETES COMPLICAT,UNITED STATES,X,,,
JOURNAL OF DIABETES AND METABOLIC DISORDERS,J DIABETES METAB DIS,ENGLAND,,,,X
JOURNAL OF DIABETES INVESTIGATION,J DIABETES INVEST,JAPAN,X,,,
JOURNAL OF DIABETES RESEARCH,J DIABETES RES,UNITED STATES,X,,,
JOURNAL OF DIAGNOSTIC MEDICAL SONOGRAPHY,J DIAGN MED SONOG,UNITED STATES,,,,X
JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,J DIFFER EQU APPL,ENGLAND,X,,,
JOURNAL OF DIFFERENTIAL EQUATIONS,J DIFFER EQUATIONS,UNITED STATES,X,,,
JOURNAL OF DIFFERENTIAL GEOMETRY,J DIFFER GEOM,UNITED STATES,X,,,
JOURNAL OF DIGESTIVE DISEASES,J DIGEST DIS,PEOPLES R CHINA,X,,,
JOURNAL OF DIGESTIVE ENDOSCOPY,J DIG ENDOSC,INDIA,,,,X
JOURNAL OF DIGITAL FORENSICS SECURITY AND LAW,J DIGIT FORENSICS SE,UNITED STATES,,,,X
JOURNAL OF DIGITAL IMAGING,J DIGIT IMAGING,UNITED STATES,X,,,
JOURNAL OF DIGITAL MEDIA & POLICY,J DIGIT MEDIA POLICY,ENGLAND,,,,X
JOURNAL OF DISABILITY POLICY STUDIES,J DISABIL POLICY STU,UNITED STATES,,X,,
JOURNAL OF DISASTER RESEARCH,J DISASTER RES,JAPAN,,,,X
JOURNAL OF DISCRETE MATHEMATICAL SCIENCES & CRYPTOGRAPHY,J DISCRET MATH SCI C,INDIA,,,,X
JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,J DISPER SCI TECHNOL,UNITED STATES,X,,,
JOURNAL OF DIVERSITY IN HIGHER EDUCATION,J DIVERS HIGH EDUC,UNITED STATES,,X,,
JOURNAL OF DOCTORAL NURSING PRACTICE,J DOCTORAL NURS PRAC,UNITED STATES,,,,X
JOURNAL OF DOCUMENTATION,J DOC,ENGLAND,,X,,
JOURNAL OF DRUG ASSESSMENT,J DRUG ASSESS,ENGLAND,,,,X
JOURNAL OF DRUG DELIVERY,J DRUG DELIV,UNITED STATES,,,,X
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,J DRUG DELIV SCI TEC,FRANCE,X,,,
JOURNAL OF DRUG EDUCATION,J DRUG EDUC,UNITED STATES,,,,X
JOURNAL OF DRUG ISSUES,J DRUG ISSUES,UNITED STATES,,X,,
JOURNAL OF DRUG TARGETING,J DRUG TARGET,ENGLAND,X,,,
JOURNAL OF DRUGS IN DERMATOLOGY,J DRUGS DERMATOL,UNITED STATES,X,,,
JOURNAL OF DUAL DIAGNOSIS,J DUAL DIAGN,UNITED STATES,,X,,
JOURNAL OF DYNAMIC BEHAVIOR OF MATERIALS,J DYNAM BEHAV MAT,UNITED STATES,,,,X
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,J DYN SYST-T ASME,UNITED STATES,X,,,
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,J DYN CONTROL SYST,UNITED STATES,X,,,
JOURNAL OF DYNAMICAL SYSTEMS AND GEOMETRIC THEORIES,J DYN SYST GEOM THE,INDIA,,,,X
JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS,J DYN DIFFER EQU,UNITED STATES,X,,,
JOURNAL OF DYNAMICS AND GAMES,J DYN GAMES,UNITED STATES,,,,X
JOURNAL OF EARLY ADOLESCENCE,J EARLY ADOLESCENCE,UNITED STATES,,X,,
JOURNAL OF EARLY AMERICAN HISTORY,J EARLY AM HIST,NETHERLANDS,,,,X
JOURNAL OF EARLY CHILDHOOD LITERACY,J EARLY CHILD LIT,ENGLAND,,X,,
JOURNAL OF EARLY CHILDHOOD RESEARCH,J EARLY CHILD RES,UNITED STATES,,,,X
JOURNAL OF EARLY CHILDHOOD TEACHER EDUCATION,J EARLY CHILD TEACH,ENGLAND,,,,X
JOURNAL OF EARLY CHRISTIAN HISTORY,J EARLY CHRIST HIST,SOUTH AFRICA,,,,X
JOURNAL OF EARLY CHRISTIAN STUDIES,J EARLY CHRISTIAN ST,UNITED STATES,,,X,
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,UNITED STATES,,X,,
JOURNAL OF EARLY MODERN HISTORY,J EARLY MOD HIST,NETHERLANDS,,X,X,
JOURNAL OF EARLY MODERN STUDIES,J EARLY MOD STUD,ITALY,,,,X
JOURNAL OF EARLY MODERN STUDIES-ROMANIA,J EARLY MOD STUD-ROM,ROMANIA,,,,X
JOURNAL OF EARTH SCIENCE,J EARTH SCI-CHINA,PEOPLES R CHINA,X,,,
JOURNAL OF EARTH SYSTEM SCIENCE,J EARTH SYST SCI,INDIA,X,,,
JOURNAL OF EARTHQUAKE AND TSUNAMI,J EARTHQ TSUNAMI,SINGAPORE,X,,,
